,Job Title,Skills,Experience,Post_Time,Info_URL
0,Ivan Infotech Pvt. Ltd.,"rest,python,security,debugging",2 - 5 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
1,art technology and software india pvt ltd,"rest,python,database,django,api",2 - 3 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-art-technology-and-software-india-pvt-ltd-cochin-kochi-ernakulam-2-to-3-yrs-jobid-M26lxDEd__PLUS__qtzpSvf__PLUS__uAgZw==&source=srp
2,sjain ventures,"python,webdeveloper,webservices",0 - 3 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-intern-sjain-ventures-raipur-0-to-3-yrs-jobid-KmspiL9__SLASH__D9hzpSvf__PLUS__uAgZw==&source=srp
3,Wing Global IT Services,"springboot,python,java,django,jpa,hibernate",2 - 5 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-wing-global-it-services-panchkula-2-to-5-yrs-jobid-__PLUS__fePw2G3HHZzpSvf__PLUS__uAgZw==&source=srp
4,TandA HR Solutions,"Python,Django,Flask,unittesting",3 - 6 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-chandigarh-3-to-6-yrs-jobid-yhy9asKbR4VzpSvf__PLUS__uAgZw==&source=srp
5,TandA HR Solutions,"python,git,django,GITHub",4 - 6 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-chandigarh-4-to-6-yrs-jobid-RxlCUMDjB7dzpSvf__PLUS__uAgZw==&source=srp
6,TandA HR Solutions,"Python,Django,Flask,GITHub",3 - 6 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-chandigarh-3-to-6-yrs-jobid-EAm60cv2FrxzpSvf__PLUS__uAgZw==&source=srp
7,young minds technology solutions pvt ltd,"python,html5,storage,javascript,security,django",0 - 3 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-young-minds-technology-solutions-pvt-ltd-tirupati-0-to-3-yrs-jobid-NDA__SLASH__WwOTUCFzpSvf__PLUS__uAgZw==&source=srp
8,day1 technologies,"rest,python,django,git,postgresql,sql,docker",2 - 3 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-day1-technologies-bengaluru-bangalore-2-to-3-yrs-jobid-wnkkahyN0x9zpSvf__PLUS__uAgZw==&source=srp
9,DREAMAJAX TECHNOLOGIES,"python,django,api,sql,nosql",4 - 7 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
10,xonier technologies pvt ltd,"python,django,testingtools,debugging,storage",2 - 5 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-xonier-technologies-pvt-ltd-noida-greater-noida-2-to-5-yrs-jobid-VZ3nXzqL2FNzpSvf__PLUS__uAgZw==&source=srp
11,zoondia software pvt ltd,"rest,python,problemsolving,sql,django,mysql,mvc,middleware",2 - 4 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-zoondia-software-pvt-ltd-calicut-kozhikode-thiruvananthapuram-2-to-4-yrs-jobid-TzDwtM7EOgFzpSvf__PLUS__uAgZw==&source=srp
12,destiny hr group services,"fundamentals,python,css,javascript,jquery,database,django,java,json,html",0 - 1 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-destiny-hr-group-services-gurgaon-0-to-1-yrs-jobid-ZBPXkQ5iEPBzpSvf__PLUS__uAgZw==&source=srp
13,glan management consultancy pvt. ltd.,"python,rdbms,mysql,cloudcomputing,docker,sql",5 - 8 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-glan-management-consultancy-pvt-ltd-noida-greater-noida-5-to-8-yrs-jobid-2yjhPFea__SLASH__AJzpSvf__PLUS__uAgZw==&source=srp
14,CIGNEX Datamatics Technologies Pvt Ltd,"python,sql,django,postgresql,writtencommunication,api,angularjs",3 - 5 yrs,Posted few days ago,https://www.timesjobs.com/job-detail/python-developer-cignex-datamatics-technologies-pvt-ltd-bengaluru-bangalore-3-to-5-yrs-jobid-tqMdlJMDwsFzpSvf__PLUS__uAgZw==&source=srp
